# ComponentName | ModuleId | ModuleName
dmt | 1 | dataMigrator
dmt | 2 | rocSyncManager
dmt | 3 | poidIdManager
dmt | 4 | hotStandbyManager
dmt | 5 | heartBeat
dmt | 6 | haManager
dmt | 7 | bulkDataSyncManager
dmt | 8 | transientObjManager
dmt | 9 | haRoleMediator
mtf | 1 | highAvailabilityManager
mtf | 2 | connectionConfigurations
mtf | 3 | threadCheckManager
mtf | 4 | threadPool
mtf | 5 | stateManager
txm | 1 | transactionManager
omf | 1 | http
omf | 2 | snmp
omf | 3 | diagnosticDataHandler
oal | 1 | storageManager
oal | 2 | indexController
oal | 3 | poidIndexController
dat | 1 | connectionPool
dat | 2 | connectionMonitor
dat | 3 | numberPortability
mml | 1 | memoryManager
plg | 1 | statistic
log | 1 | streamITO
fct | 1 | opcodePlugIn
ppl | 1 | inputController
