2441616234*06-09-2021 09:01:01*$10 International Chat Pack*06-09-2021 08:41:30**332052514208622112*06-09-2021 09:01:01*1*1484974018817598506*/event/delayed/session/telco/gsm/valuepack*/service/telco/gsm*06-09-2021 08:41:29*10*100200600*258*2441618664*1090734*1*554*GST*0*2441615594*2441615594*0*2604248488                                             
1758454006*06-09-2021 12:25:01*1GB NZ Data Pack*06-09-2021 12:19:45**332070106394668576*06-09-2021 12:25:01*1*1484991611003667503*/event/delayed/session/telco/gsm/valuepack*/service/telco/gsm*06-09-2021 12:19:44*20*100200360*258*1758413239*1090734*1*554*GST*0*1758454518*1758454518*0*2604270694                                                        
2619980964*06-09-2021 12:27:04*International calls*06-09-2021 12:21:25**332070106394665248*06-09-2021 12:27:04*59*1484991611003675698*/event/delayed/session/telco/gsm/voice*/service/telco/gsm*06-09-2021 12:20:26*1.44*300201210*258*2619944868*1090734*60*554*GST*0*2619981476*2619981476*0*2619980196                                                     
2487247674*05-09-2021 21:44:50*$55 Monthly Prepay Plan*05-09-2021 21:26:00**332052514208623136*05-09-2021 21:44:50*1*1484974018817171446*/event/delayed/session/telco/gsm/valuepack*/service/telco/gsm*05-09-2021 21:25:59*55*100100143*258*2487372523*1090734*1*554*GST*0*2487247034*2487247034*0*2597311569                                                 
2373514972*06-09-2021 13:00:51*Data Clock 1 Hour*06-09-2021 12:42:29**331964553277165552*06-09-2021 13:00:51*1*1484991611003700325*/event/delayed/session/telco/gsm/valuepack*/service/telco/gsm*06-09-2021 12:42:28*1*100100700*258*2373518863*1090734*1*554*GST*0*2373514716*2373514716*0*2597067444                                                        
2373514972*06-09-2021 13:00:51*Data Clock 1 Hour*06-09-2021 12:45:00**331964553277165552*06-09-2021 13:00:51*1*1484991611003700324*/event/delayed/session/telco/gsm/valuepack*/service/telco/gsm*06-09-2021 12:44:59*1*100100700*258*2373518863*1090734*1*554*GST*0*2373514716*2373514716*0*2597067444                                                        
2373514972*06-09-2021 13:00:51*Data Clock 1 Hour*06-09-2021 12:42:52**331964553277165552*06-09-2021 13:00:51*1*1484991611003700323*/event/delayed/session/telco/gsm/valuepack*/service/telco/gsm*06-09-2021 12:42:51*1*100100700*258*2373518863*1090734*1*554*GST*0*2373514716*2373514716*0*2597067444                                                        
2373514972*06-09-2021 13:00:51*Data Clock 1 Hour*06-09-2021 12:43:10**331964553277165552*06-09-2021 13:00:51*1*1484991611003700322*/event/delayed/session/telco/gsm/valuepack*/service/telco/gsm*06-09-2021 12:43:09*1*100100700*258*2373518863*1090734*1*554*GST*0*2373514716*2373514716*0*2597067444                                                        
2373514972*05-09-2021 03:08:48*Data Clock 1 Hour*05-09-2021 02:49:06**331964553277165552*05-09-2021 03:08:48*1*1484956426630921189*/event/delayed/session/telco/gsm/valuepack*/service/telco/gsm*05-09-2021 02:49:05*1*100100700*258*2373518863*1090734*1*554*GST*0*2373514716*2373514716*0*2597067444                                                        
2373514972*05-09-2021 03:08:48*Data Clock 1 Hour*05-09-2021 02:51:47**331964553277165552*05-09-2021 03:08:48*1*1484956426630921188*/event/delayed/session/telco/gsm/valuepack*/service/telco/gsm*05-09-2021 02:51:46*1*100100700*258*2373518863*1090734*1*554*GST*0*2373514716*2373514716*0*2597067444                                                        
2373514972*05-09-2021 03:08:48*Data Clock 1 Hour*05-09-2021 02:48:01**331964553277165552*05-09-2021 03:08:48*1*1484956426630921187*/event/delayed/session/telco/gsm/valuepack*/service/telco/gsm*05-09-2021 02:48:00*1*100100700*258*2373518863*1090734*1*554*GST*0*2373514716*2373514716*0*2597067444                                                        
