2563894303*28-06-2021 06:31:09**28-06-2021 06:31:13**330838653309686870*28-06-2021 06:31:09*1*330838653309688918*/event/billing/product/fee/cycle/cycle_arrear*/service/telco/gsm*28-06-2021 06:31:13*25.33*200200058*1*2567517105*1330996978*1*554*GST*0*2563894815*2563894815*0*2563891487                
2085003986*28-06-2021 06:49:42**28-06-2021 06:49:41**330838653309708771*28-06-2021 06:49:42*0*330838653309707747*/event/billing/payment/creditcard**28-06-2021 06:49:42*-5.09*990209000*2*0*0*0*554*NILGST*0*2085003730*2085003730*0*0                                                                      
2558477049*28-06-2021 13:06:52**28-06-2021 13:06:57**330838653309733383*28-06-2021 13:06:52*1*330838653309732359*/event/billing/product/fee/cycle/cycle_arrear*/service/telco/gsm*28-06-2021 13:06:57*4.22*100200525*1*2558480155*2532898025*1*554*GST*0*2558476793*2558476793*0*2558478841                 
1777706029*28-06-2021 14:45:43**28-06-2021 14:45:42**330838653314485654*28-06-2021 14:45:43*0*330838653314483094*/event/billing/payment/creditcard**28-06-2021 14:45:43*-20*990209000*2*0*0*0*554*NILGST*0*1777706541*1777706541*0*0                                                                        
2085003986*28-06-2021 14:47:33**28-06-2021 14:47:33*202106281447223147*330838653317259377*28-06-2021 14:47:33*0*330838653317261425*/event/billing/adjustment/account**28-06-2021 14:47:33*.09*510200240*2*0*0*0*554*GST*0*2085003730*2085003730*0*0                                                         
2085003986*28-06-2021 14:47:33**28-06-2021 14:47:32**330838653317261154*28-06-2021 14:47:33*0*330838653317263202*/event/billing/payment/creditcard**28-06-2021 14:47:33*-5.09*990209000*2*0*0*0*554*NILGST*0*2085003730*2085003730*0*0                                                                      
2085003986*28-06-2021 14:40:39**28-06-2021 14:40:39**330838653317276707*28-06-2021 14:40:39*0*330838653317278755*/event/billing/payment/creditcard**28-06-2021 14:40:39*-5.09*990209000*2*0*0*0*554*NILGST*0*2085003730*2085003730*0*0                                                                      
2085003986*28-06-2021 06:55:42**28-06-2021 06:55:42**330838653317285678*28-06-2021 06:55:42*0*330838653317287726*/event/billing/payment/creditcard**28-06-2021 06:55:42*-5.09*990209000*2*0*0*0*554*NILGST*0*2085003730*2085003730*0*0                                                                      
1777706029*28-06-2021 06:54:04**28-06-2021 06:54:04**330838653317290188*28-06-2021 06:54:04*0*330838653317289164*/event/billing/payment/creditcard**28-06-2021 06:54:04*-20*990209000*2*0*0*0*554*NILGST*0*1777706541*1777706541*0*0                                                                        
2085003986*28-06-2021 06:55:42**28-06-2021 06:55:42*202106280655323128*330838653318782190*28-06-2021 06:55:42*0*330838653318779630*/event/billing/adjustment/account**28-06-2021 06:55:42*.09*510200240*2*0*0*0*554*GST*0*2085003730*2085003730*0*0                                                         
2085003986*28-06-2021 06:49:42**28-06-2021 06:49:42*202106280649393126*330838653318785076*28-06-2021 06:49:42*0*330838653318784052*/event/billing/adjustment/account**28-06-2021 06:49:42*.09*510200240*2*0*0*0*554*GST*0*2085003730*2085003730*0*0                                                         
1777706029*28-06-2021 14:39:33**28-06-2021 14:39:33**330838653318790951*28-06-2021 14:39:33*0*330838653318787239*/event/billing/payment/creditcard**28-06-2021 14:39:33*-20*990209000*2*0*0*0*554*NILGST*0*1777706541*1777706541*0*0                                                                        
2558429916*28-06-2021 14:20:44**28-06-2021 14:20:49**330838653318787463*28-06-2021 14:20:44*1*330838653318789511*/event/billing/product/fee/cycle/cycle_arrear*/service/telco/gsm*28-06-2021 14:20:49*25.33*200200058*1*2567245806*1330996978*1*554*GST*0*2558429660*2558429660*0*2558428636                
2085003986*28-06-2021 14:40:41**28-06-2021 14:40:41*202106281440363145*330838653318788452*28-06-2021 14:40:41*0*330838653318790500*/event/billing/adjustment/account**28-06-2021 14:40:41*.09*510200240*2*0*0*0*554*GST*0*2085003730*2085003730*0*0                                                         
1777706029*28-06-2021 06:48:34**28-06-2021 06:48:34**330838653318792057*28-06-2021 06:48:34*0*330838653318794105*/event/billing/payment/creditcard**28-06-2021 06:48:34*-20*990209000*2*0*0*0*554*NILGST*0*1777706541*1777706541*0*0                                                                        
2254019853*28-06-2021 15:09:20**28-06-2021 15:09:24**330838653318792441*28-06-2021 15:09:20*1*330838653318794489*/event/billing/product/fee/cycle/cycle_arrear*/service/telco/gsm*28-06-2021 15:09:24*12*100200401*1*2522637306*2482529779*1*554*GST*0*2248530012*2248530012*0*2546623793                   
2567528221*28-06-2021 13:31:18**28-06-2021 13:21:46**330838653318800427*28-06-2021 13:31:18*1*330838653318801707*/event/billing/product/fee/purchase*/service/telco/gsm*28-06-2021 13:31:17*113.85*100200530*1*2567512363*2532899561*1*554*GST*0*2567527581*2567527581*0*2567525021                         
2558477049*28-06-2021 13:05:36**28-06-2021 13:05:42**330838653318805139*28-06-2021 13:05:36*1*330838653318807187*/event/billing/product/fee/cycle/cycle_arrear*/service/telco/gsm*28-06-2021 13:05:42*4.22*200200501*1*2558351387*2532897257*1*554*GST*0*2558476793*2558476793*0*2558478841                 
Amount_sum*84.95
