patch_20286776 install log: 
backing up /brmapp/portal/7.5/source.me.sh, /brmapp/portal/7.5/source.me.sh.20286776.bak 
deploying affected file /brmapp/portal/7.5/source.me.sh 
backing up /brmapp/portal/7.5/source.me.csh, /brmapp/portal/7.5/source.me.csh.20286776.bak 
deploying affected file /brmapp/portal/7.5/source.me.csh 
backing up /brmapp/portal/7.5/include/pin_inv.h, /brmapp/portal/7.5/include/pin_inv.h.20286776.bak 
deploying affected file /brmapp/portal/7.5/include/pin_inv.h 
backing up /brmapp/portal/7.5/include/fm_bill_utils.h, /brmapp/portal/7.5/include/fm_bill_utils.h.20286776.bak 
deploying affected file /brmapp/portal/7.5/include/fm_bill_utils.h 
backing up /brmapp/portal/7.5/include/fm_collections.h, /brmapp/portal/7.5/include/fm_collections.h.20286776.bak 
deploying affected file /brmapp/portal/7.5/include/fm_collections.h 
backing up /brmapp/portal/7.5/include/pin_ar.h, /brmapp/portal/7.5/include/pin_ar.h.20286776.bak 
deploying affected file /brmapp/portal/7.5/include/pin_ar.h 
backing up /brmapp/portal/7.5/include/pin_pymt.h, /brmapp/portal/7.5/include/pin_pymt.h.20286776.bak 
deploying affected file /brmapp/portal/7.5/include/pin_pymt.h 
backing up /brmapp/portal/7.5/include/pinlog.h, /brmapp/portal/7.5/include/pinlog.h.20286776.bak 
deploying affected file /brmapp/portal/7.5/include/pinlog.h 
backing up /brmapp/portal/7.5/include/PinFlds.h, /brmapp/portal/7.5/include/PinFlds.h.20286776.bak 
deploying affected file /brmapp/portal/7.5/include/PinFlds.h 
backing up /brmapp/portal/7.5/include/pin_act.h, /brmapp/portal/7.5/include/pin_act.h.20286776.bak 
deploying affected file /brmapp/portal/7.5/include/pin_act.h 
backing up /brmapp/portal/7.5/include/pin_errs.h, /brmapp/portal/7.5/include/pin_errs.h.20286776.bak 
deploying affected file /brmapp/portal/7.5/include/pin_errs.h 
backing up /brmapp/portal/7.5/include/pin_flds.h, /brmapp/portal/7.5/include/pin_flds.h.20286776.bak 
deploying affected file /brmapp/portal/7.5/include/pin_flds.h 
backing up /brmapp/portal/7.5/include/psiu_business_params.h, /brmapp/portal/7.5/include/psiu_business_params.h.20286776.bak 
deploying affected file /brmapp/portal/7.5/include/psiu_business_params.h 
backing up /brmapp/portal/7.5/include/pcm.h, /brmapp/portal/7.5/include/pcm.h.20286776.bak 
deploying affected file /brmapp/portal/7.5/include/pcm.h 
backing up /brmapp/portal/7.5/include/pin_voucher.h, /brmapp/portal/7.5/include/pin_voucher.h.20286776.bak 
deploying affected file /brmapp/portal/7.5/include/pin_voucher.h 
backing up /brmapp/portal/7.5/include/pin_cust.h, /brmapp/portal/7.5/include/pin_cust.h.20286776.bak 
deploying affected file /brmapp/portal/7.5/include/pin_cust.h 
backing up /brmapp/portal/7.5/include/pin_price.h, /brmapp/portal/7.5/include/pin_price.h.20286776.bak 
deploying affected file /brmapp/portal/7.5/include/pin_price.h 
backing up /brmapp/portal/7.5/include/pin_bill.h, /brmapp/portal/7.5/include/pin_bill.h.20286776.bak 
deploying affected file /brmapp/portal/7.5/include/pin_bill.h 
backing up /brmapp/portal/7.5/include/pin_subscription.h, /brmapp/portal/7.5/include/pin_subscription.h.20286776.bak 
deploying affected file /brmapp/portal/7.5/include/pin_subscription.h 
backing up /brmapp/portal/7.5/include/fm_utils.h, /brmapp/portal/7.5/include/fm_utils.h.20286776.bak 
deploying affected file /brmapp/portal/7.5/include/fm_utils.h 
backing up /brmapp/portal/7.5/include/ops/act.h, /brmapp/portal/7.5/include/ops/act.h.20286776.bak 
deploying affected file /brmapp/portal/7.5/include/ops/act.h 
backing up /brmapp/portal/7.5/include/ops/pymt.h, /brmapp/portal/7.5/include/ops/pymt.h.20286776.bak 
deploying affected file /brmapp/portal/7.5/include/ops/pymt.h 
backing up /brmapp/portal/7.5/include/ops/cust.h, /brmapp/portal/7.5/include/ops/cust.h.20286776.bak 
deploying affected file /brmapp/portal/7.5/include/ops/cust.h 
backing up /brmapp/portal/7.5/source/apps/sample/sample_act, /brmapp/portal/7.5/source/apps/sample/sample_act.20286776.bak 
deploying affected file /brmapp/portal/7.5/source/apps/sample/sample_act 
backing up /brmapp/portal/7.5/source/apps/sample/sample_del, /brmapp/portal/7.5/source/apps/sample/sample_del.20286776.bak 
deploying affected file /brmapp/portal/7.5/source/apps/sample/sample_del 
backing up /brmapp/portal/7.5/source/apps/sample/Makefile, /brmapp/portal/7.5/source/apps/sample/Makefile.20286776.bak 
deploying affected file /brmapp/portal/7.5/source/apps/sample/Makefile 
backing up /brmapp/portal/7.5/source/apps/sample/sample_who, /brmapp/portal/7.5/source/apps/sample/sample_who.20286776.bak 
deploying affected file /brmapp/portal/7.5/source/apps/sample/sample_who 
backing up /brmapp/portal/7.5/source/apps/sample/sample_app, /brmapp/portal/7.5/source/apps/sample/sample_app.20286776.bak 
deploying affected file /brmapp/portal/7.5/source/apps/sample/sample_app 
backing up /brmapp/portal/7.5/source/apps/sample/sample_search, /brmapp/portal/7.5/source/apps/sample/sample_search.20286776.bak 
deploying affected file /brmapp/portal/7.5/source/apps/sample/sample_search 
backing up /brmapp/portal/7.5/source/sys/fm_cust_pol/fm_cust_pol_encrypt_passwd.c, /brmapp/portal/7.5/source/sys/fm_cust_pol/fm_cust_pol_encrypt_passwd.c.20286776.bak 
deploying affected file /brmapp/portal/7.5/source/sys/fm_cust_pol/fm_cust_pol_encrypt_passwd.c 
